Question,Answer
"Definition: identify the principle, or find a situation that conforms to a principle, or match the principles 
Context: 
Buying elaborate screensavers – programs that put moving images on a computer monitor to prevent
damage – can cost a company far more in employee time than it saves in electricity and monitor protection.
Employees cannot resist spending time playing with screensavers that flash interesting graphics across
their screens. 
Question: 
Which one of the following most closely conforms to the principle illustrated above? 
Options: 
A. An electronic keyboard may be cheaper to buy than a piano but more expensive to repair. 
B. An energy-efficient insulation system may cost more up front but will ultimately save money over the
life of the house. 
C. The time that it takes to have a pizza delivered may be longer than it takes to cook a complete dinner. 
D. A complicated hotel security system may cost more in customer goodwill than it saves in losses by
theft.

"," D

"
"Definition: identify or infer an issue in dispute 
Context:
Raphaela: Forcing people to help others is morally wrong. Therefore, no government has the right to
redistribute resources via taxation. Anyone who wants can help others voluntarily. Edward: Governments
do have that right, insofar as they give people the freedom to leave and hence not to live under their
authority.
Question:
Raphaela and Edward disagree about the truth of which one of the following?
Options:
A. Any government that forces people to help others should permit emigration.
B. Any government that permits emigration has the right to redistribute resources via taxation.
C. Any government that redistributes resources via taxation forces people to help others.
D. Every government should allow people to help others voluntarily

"," B

"
"Definition: identify the technique used in the reasoning of an argument
Context: 
Joanna: The only way for a company to be successful, after emerging from bankruptcy, is to produce the
same goods or services that it did before going bankrupt. It is futile for such a company to try to learn a
whole new business. Ruth: Wrong. The Kelton Company was a major mining operation that went into
bankruptcy. On emerging from bankruptcy, Kelton turned its mines into landfills and is presently a highly
successful waste-management concern.
Question:
Ruth uses which one of the following argumentative techniques in countering Joanna’s argument?
Options:
A. She undermines a claim by showing that it rests on an ambiguity.
B. She offers an alternative explanation for a phenomenon.
C. She presents a counterexample to a claim.
D. She establishes a conclusion by excluding the only plausible alternative to that conclusion.

"," C

"
"Definition: describe the individual role that a statement is playing in a larger argument
Context:
The position that punishment should be proportional to how serious the offense is but that repeat offenders
should receive harsher punishments than first-time offenders is unsustainable. It implies that considerations as remote as what an offender did years ago are relevant to the seriousness of an offense. If such remote considerations were relevant, almost every other consideration would be too. But this would make determining the seriousness of an offense so difficult that it would be impossible to apply the proportionality principle.
Question:
The statement that considerations as remote as what an offender did years ago are relevant to the seriousness of an offense plays which one of the following roles in the argument?
Options:
A. It is an allegedly untenable consequence of a view rejected in the argument’s overall conclusion.
B. It is a statement the argument provides grounds to accept and from which the overall conclusion is
inferred.
C. It is the overall conclusion in favor of which the argument offers evidence.
D. It is a premise offered in support of an intermediate conclusion of the argument.

"," A

"
"Definition: identify a flaw in an argument’s reasoning
Context:
The tidal range at a particular location is the difference in height between high tide and low tide. Tidal studies have shown that one of the greatest tidal ranges in the world is found in the Bay of Fundy and reaches more than seventeen meters. Since the only forces involved in inducing the tides are the sun’ s and moon’ s gravity, the magnitudes of tidal ranges also must be explained entirely by gravitational forces.
Question:
Which one of the following most accurately describes a flaw in the reasoning above?
Options:
A. It does not differentiate between the tidal effect of the sun and the tidal effect of the moon.
B. It fails to consider that the size of a tidal range could be affected by the conditions in which gravitational forces act.
C. It presumes, without providing warrant, that most activity within the world’s oceans is a result of an interplay of gravitational forces.
D. It gives only one example of a tidal range.

"," B

"
"Definition: find a choice containing an argument that exhibits the same flaws as the passage’s argument 
Context:
The museum’ s night security guard maintains that the thieves who stole the portrait did not enter the
museum at any point at or above ground level. Therefore, the thieves must have gained access to the
museum from below ground level.
Question:
The flawed pattern of reasoning in the argument above is most similar to that in which one of the following?
Options:
A. As had generally been expected, not all questionnaires were sent in by the official deadline. It follows
that plans must have been made for the processing of questionnaires received late.
B. The store’s competitors claim that the store, in selling off the shirts at those prices, neither made any
profit nor broke even. Consequently, the store’s customers must have been able to buy shirts there at less
than the store’s cost.
C. The product label establishes that this insecticide is safe for both humans and pets. Therefore, the
insecticide must also be safe for such wild mammals as deer and rabbits.
D. If the census is to be believed, the percentage of men who are married is higher than the percentage of
women who are married. Thus, the census must show a higher number of men than of women overall.

"," B

"
"Definition: match the structure of an argument in a choice to the structure of the argument in the passage
Context:
It is an absurd idea that whatever artistic endeavor the government refuses to support it does not allow,
as one can see by rephrasing the statement to read: No one is allowed to create art without a government
subsidy.
Question:
The pattern of reasoning in which one of the following is most similar to that in the argument above?
Options:
A. The notion that every scientist who has been supported by a government grant will be successful is
absurd, as one can see by rewording it:No scientist is allowed to do research without a government grant.
B. The notion that every scientist who is supported by a government grant will be successful is absurd, as
one can see by rewording it:No scientist lacking governmental support will be successful.
C. The claim that any driver who is not arrested does not break the law is absurd, as one can see by
rewording it: Every driver who gets arrested has broken the law.
D. The claim that any driver who is not arrested does not break the law is absurd, as one can see by
rewording it: Every driver who breaks the law gets arrested.

"," D

"
"Definition: other types of questions which are not included by the above
Context:
PhishCo runs a number of farms in the arid province of Nufa, depending largely on irrigation. Now, as part of a plan to efficiently increase the farms‘ total production, it plans to drill down to an aquifer containing warm, slightly salty water that will be used to raise fish in ponds. The water from the ponds will later be used to supplement piped-in irrigation water for PhishCo‘s vegetable fields, and the ponds and accompanying vegetation should help reduce the heat in the area of the farms.
Question:
Which of the following would, if true, most strongly suggest that the plan, if implemented, would increase the overall efficiency of PhishCo‘s farms?
Options:
A. Organic waste from fish in the pond water will help to fertilize fields where it is used for irrigation.
B. Fish raised on PhishCo’s farms are likely to be saleable in the nearest urban areas.
C. Ponds will be located on low-lying land now partially occupied by grain crops.
D. The government of Nufa will help to arrange loan financing to partially cover the costs of drilling.

"," A

"
"If i prefer bet A that has 50%
chance to win a watch and 50%
chance to win a computer over
bet B that has 50% chance to win
an egg and 50% chance to win a
computer, and i prefer bet B over
bet C that has 50% chance to win
a tv and 50% chance to win a
computer. What is my preference involving bet A and bet C?


"," Bet A over Bet C

"
"what is the name of the only daughter of Sara's mother

"," Sara

"
"Statements: No women teacher can play. Some women teachers are athletes.
Conclusions:
I- Male athletes can play.
II- Some athletes can play.

a- Only conclusion I follows
b- Only conclusion II follows
c- Either I or II follows
d- Neither I nor II follows
e- Both I and II follow


"," Option D
Explanation:
Since one premise is negative, the conclusion must be negative. So, neither conclusion follows.

"
"Statements: All bags are cakes. All lamps are cakes. 
Conclusions:
I- Some lamps are bags.
II- No lamp is bag.

a- Only conclusion I follows
b- Only conclusion II follows
c- Either I or II follows
d- Neither I nor II follows
e- Both I and II follow

"," Option C
Explanation:
Since the middle term 'cakes' is not distributed even once in the premises, no definite conclusion follows. However, I and II involve only the extreme terms and form a complementary pair. So, either I or II follows.

"
"Statements: All mangoes are golden in colour. No golden-coloured things are cheap.
Conclusions:
I- All mangoes are cheap.
II- Golden-coloured mangoes are not cheap.

a- Only conclusion I follows
b- Only conclusion II follows
c- Either I or II follows
d- Neither I nor II follows
e- Both I and II follow

"," 
Option B
Explanation:
Clearly, the conclusion must be universal negative and should not contain the middle term. So, it follows that 'No mango is cheap'. Since all mangoes are golden in colour, we may substitute 'mangoes' with 'golden-coloured mangoes'. Thus, II follows.

"
"Statements: Some kings are queens. All queens are beautiful. 
Conclusions:
I- All kings are beautiful.
II- All queens are kings.

a- Only conclusion I follows
b- Only conclusion II follows
c- Either I or II follows
d- Neither I nor II follows
e- Both I and II follow

"," 
 Option D
Explanation:
Since one premise is particular, the conclusion must be particular. So, neither I nor II follows.

"
"Statements: Some doctors are fools. Some fools are rich.
Conclusions:
I- Some doctors are rich
II- Some rich are doctors.

a- Only conclusion I follows
b- Only conclusion II follows
c- Either I or II follows
d- Neither I nor II follows
e- Both I and II follow

"," 
Option D
Explanation:
Since both the premises are particular, no definite conclusion follows.

"
"Statements: All roads are waters. Some waters are boats. 
Conclusions:
I- Some boats are roads.
II- All waters are boats.

a- Only conclusion I follows
b- Only conclusion II follows
c- Either I or II follows
d- Neither I nor II follows
e- Both I and II follow

"," 
Option D
Explanation:
The first premise is A type and distributes the subject. So, the middle term 'waters' which forms its predicate, is not distributed. The second premise is I type and does not distribute either subject or predicate. So, the middle term 'waters' forming its subject is not distributed. Since the middle term is not distributed even once in the premises, no definite conclusion follows.

"
"Statements: No bat is ball. No ball is wicket. 
Conclusions:
I- No bat is wicket.
II- All wickets are bats.

a- Only conclusion I follows
b- Only conclusion II follows
c- Either I or II follows
d- Neither I nor II follows
e- Both I and II follow

"," 
Option D
Explanation:
Since both the premises are negative, no definite conclusion follows.

"
"Statements: All flowers are trees. No fruit is tree. 
Conclusions:
I- No fruit is flower.
II- Some trees are flowers.

a- Only conclusion I follows
b- Only conclusion II follows
c- Either I or II follows
d- Neither I nor II follows
e- Both I and II follow

"," 
Option E
Explanation:
As discussed above, the conclusion must be universal negative and should not contain the middle term. So, it follows that 'No flower is fruit'. I is the converse of this conclusion and thus it follows. II is the converse of the first premise and so it also holds.

"
"Statements: Every minister is a student. Every student is inexperienced.
Conclusions:
I- Every minister is inexperienced.
II- Some inexperienced are students.

a- Only conclusion I follows
b- Only conclusion II follows
c- Either I or II follows
d- Neither I nor II follows
e- Both I and II follow

"," 
Option E
Explanation:
'Every' is equivalent to 'All'. Thus, since both the premises are universal and affirmative, the conclusion must be universal affirmative and should not contain the middle term. So, I follows. II is the converse of the second premise and thus it also holds.

"
"Statements: All roads are poles. No pole is a house.
Conclusions:
I- Some roads are houses.
II- Some houses are poles.

a- Only conclusion I follows
b- Only conclusion II follows
c- Either I or II follows
d- Neither I nor II follows
e- Both I and II follow

"," 
Option D
Explanation:
Since both the premises are universal and one premise is negative, the conclusion must be universal negative. So, neither I nor II follows.

"
"How many chickens would it take to be able to kill a lion?

"," It is unlikely for chickens to be able to kill a lion.

"
"If roses are red, why are violets blue?

"," It is a play on the words and colors do not matter here. It is a popular sentence because of its rhyme.

"
"Why do round pizzas come in square boxes?

"," 
Here are some of the possible reasons:
- Easier for delivery
- Easier to store boxes for restaurants

"
"Is this sentence logically correct ``'I see' said the blind man to his deaf and dumb daughter as he picked up his hammer and saw.""

"," No.

"
"What gender will the first female President of the United States be?

"," Woman.

"
"What religion will the first Jewish President of the United States be?

"," Jewish.

"
"How tall will the first 7’ President be?

"," 7.

"
"Can God create a stone that he can not lift?

"," No clear answer.

"
"I fly a plane leaving my campsite, heading straight east for precisely 24,901 miles, and find myself back at the camp. I come upon seeing a tiger in my tent eating my food! What species is the tiger?

"," Any tiger species native to the Equator (like Bengal and Sumatran).

"
"A father and his son are in a car accident. The father dies at the scene and the son is rushed to the hospital. At the hospital the surgeon looks at the boy and says ``I can’t operate on this boy, he is my son.""
How can this be?

"," The surgeon is the boy’s mother.

"
"Can atheists get insurance policies that cover acts of God?

"," Yes.

"
"Is it legal for a man to marry his widow's sister?

",NONE
"Velociraptor is to dinosaur as duck is to?

"," bird.

"
